id,value
OCSD,
OCSD.CRIMESAGAINSTPERSONS,
OCSD.CRIMESAGAINSTPERSONS.ANNOYINGORMOLESTINGACHILD-29,29
OCSD.CRIMESAGAINSTPERSONS.ASSAULTONPOLICEOFFICER,109
OCSD.CRIMESAGAINSTPERSONS.ASSAULTWITHDEADLYWEAPON,567
OCSD.CRIMESAGAINSTPERSONS.Assault/Battery,1187
OCSD.CRIMESAGAINSTPERSONS.ATTEMPTEDMURDER,86
OCSD.CRIMESAGAINSTPERSONS.CARJACKINGINPROGRESS,39
OCSD.CRIMESAGAINSTPERSONS.CONCEALEDDIRKORDAGGER,179
OCSD.CRIMESAGAINSTPERSONS.DOMESTICVIOLENCE,3544
OCSD.CRIMESAGAINSTPERSONS.ELDERLYABUSE,103
OCSD.CRIMESAGAINSTPERSONS.FALSEIMPRISONMENT,139
OCSD.CRIMESAGAINSTPERSONS.HOMICIDE,8
OCSD.CRIMESAGAINSTPERSONS.INDECENTEXPOSURE,82
OCSD.CRIMESAGAINSTPERSONS.KIDNAPPING,42
OCSD.CRIMESAGAINSTPERSONS.LEWDCONDUCT-CHILDABUSE,201
OCSD.CRIMESAGAINSTPERSONS.MANSLAUGHTER,9
OCSD.CRIMESAGAINSTPERSONS.MetalKnuckles,80
OCSD.CRIMESAGAINSTPERSONS.PEEKINGWITHINSTRUMENT,15
OCSD.CRIMESAGAINSTPERSONS.POSSESSIONOFCHILDPORNOGRAPHY,11
OCSD.CRIMESAGAINSTPERSONS.RESISTINGARREST,177
OCSD.CRIMESAGAINSTPERSONS.ROBBERYINPROGRESS,416
OCSD.CRIMESAGAINSTPERSONS.SEXUALASSAULT,1648
OCSD.CRIMESAGAINSTPERSONS.SHOOTINGATINHABITEDDWELLINGINPROGRESS,35
OCSD.CRIMESAGAINSTPERSONS.WEAPONINCOURT,56
