id,value
OCSD,
OCSD.AlisoViejo,
OCSD.AlisoViejo.CRIMESAGAINSTPERSONS,
OCSD.AlisoViejo.CRIMESAGAINSTPERSONS.ANNOYINGORMOLESTINGACHILD,3
OCSD.AlisoViejo.CRIMESAGAINSTPERSONS.ASSAULTONPOLICEOFFICER,4
OCSD.AlisoViejo.CRIMESAGAINSTPERSONS.ASSAULTWITHDEADLYWEAPON,24
OCSD.AlisoViejo.CRIMESAGAINSTPERSONS.Assault/Battery,73
OCSD.AlisoViejo.CRIMESAGAINSTPERSONS.CARJACKINGINPROGRESS,1
OCSD.AlisoViejo.CRIMESAGAINSTPERSONS.CONCEALEDDIRKORDAGGER,3
OCSD.AlisoViejo.CRIMESAGAINSTPERSONS.DOMESTICVIOLENCE,388
OCSD.AlisoViejo.CRIMESAGAINSTPERSONS.ELDERLYABUSE,8
OCSD.AlisoViejo.CRIMESAGAINSTPERSONS.FALSEIMPRISONMENT,4
OCSD.AlisoViejo.CRIMESAGAINSTPERSONS.INDECENTEXPOSURE,4
OCSD.AlisoViejo.CRIMESAGAINSTPERSONS.LEWDCONDUCT-CHILDABUSE,10
OCSD.AlisoViejo.CRIMESAGAINSTPERSONS.MetalKnuckles,2
OCSD.AlisoViejo.CRIMESAGAINSTPERSONS.PEEKINGWITHINSTRUMENT,3
OCSD.AlisoViejo.CRIMESAGAINSTPERSONS.POSSESSIONOFCHILDPORNOGRAPHY,1
OCSD.AlisoViejo.CRIMESAGAINSTPERSONS.RESISTINGARREST,8
OCSD.AlisoViejo.CRIMESAGAINSTPERSONS.ROBBERYINPROGRESS,10
OCSD.AlisoViejo.CRIMESAGAINSTPERSONS.SEXUALASSAULT,131
OCSD.AlisoViejo.CRIMESAGAINSTPERSONS.SHOOTINGATINHABITEDDWELLINGINPROGRESS,3
OCSD.AlisoViejo.DISTURBANCE,
OCSD.AlisoViejo.DISTURBANCE.DISTURBANCE,4
OCSD.AlisoViejo.DISTURBANCE.lewdCONDUCT,1
OCSD.AlisoViejo.DISTURBANCE.LOITERINGONPRIVATEPROPERTTY,1
OCSD.AlisoViejo.DISTURBANCE.TRESPASSING,31
OCSD.AlisoViejo.DISTURBANCE.URINATINGINPUBLIC,1
OCSD.AlisoViejo.DRUGS/INTOXICATION,
OCSD.AlisoViejo.DRUGS/INTOXICATION.DRIVINGUNDERTHEINFLUENCE,69
OCSD.AlisoViejo.DRUGS/INTOXICATION.DRUNKINPUBLIC,20
OCSD.AlisoViejo.DRUGS/INTOXICATION.NARCOTICVIOLATION,100
OCSD.AlisoViejo.DRUGS/INTOXICATION.NARCOTICVIOLATIONMISDEMEANOR,46
OCSD.AlisoViejo.DRUGS/INTOXICATION.OpenContainer,8
OCSD.AlisoViejo.DRUGS/INTOXICATION.POSSESSIONFORSALEOFNARCOTICS,5
OCSD.AlisoViejo.DRUGS/INTOXICATION.POSSESSIONFORSLAEOFDESIGNATEDSUBSTANCES,30
OCSD.AlisoViejo.DRUGS/INTOXICATION.POSSESSIONOFACONTROLLEDSUBSTANCE,9
OCSD.AlisoViejo.DRUGS/INTOXICATION.PossessionofDrugParaphernalia,191
OCSD.AlisoViejo.DRUGS/INTOXICATION.PossessionofMarijuanaforSale,1
OCSD.AlisoViejo.DRUGS/INTOXICATION.PossessionofMethamphetamine,131
OCSD.AlisoViejo.DRUGS/INTOXICATION.POSSESSIONOFTOLUENE,2
OCSD.AlisoViejo.DRUGS/INTOXICATION.SALEOFMETHAMPHETAMINE,10
OCSD.AlisoViejo.DRUGS/INTOXICATION.SALEORTRANSPORTATIONOFACONTROLLEDSUBSTANCE,1
OCSD.AlisoViejo.DRUGS/INTOXICATION.TRANSPORTINGORSALEOFMETHAMPHETAMINE,2
OCSD.AlisoViejo.DRUGS/INTOXICATION.UNDERTHEINFLUENCEDRUGS,17
OCSD.AlisoViejo.PROPERTYDAMAGE,
OCSD.AlisoViejo.PROPERTYDAMAGE.MALICIOUSMISCHIEFTOAVEHICLE,1
OCSD.AlisoViejo.PROPERTYDAMAGE.VANDALISMINPROGRESS,234
OCSD.AlisoViejo.RESISTINGARREST,
OCSD.AlisoViejo.RESISTINGARREST.RESISTINGARREST,2
OCSD.AlisoViejo.THEFT/BURGLARY,
OCSD.AlisoViejo.THEFT/BURGLARY.APPROPRIATIONOFLOSTPROPERTY,2
OCSD.AlisoViejo.THEFT/BURGLARY.BURGLARYINPROGRESS,48
OCSD.AlisoViejo.THEFT/BURGLARY.CHECKFRAUD,4
OCSD.AlisoViejo.THEFT/BURGLARY.CRIMINALPROFITTEERING,3
OCSD.AlisoViejo.THEFT/BURGLARY.DEFRAUDINGANINNKEEPER,2
OCSD.AlisoViejo.THEFT/BURGLARY.ForgeryandCounterfeiting,2
OCSD.AlisoViejo.THEFT/BURGLARY.FORGERYINPROGRESS,8
OCSD.AlisoViejo.THEFT/BURGLARY.ForgingOrPossessingAFraudulentPublicSeal,1
OCSD.AlisoViejo.THEFT/BURGLARY.GRANDTHEFT,124
OCSD.AlisoViejo.THEFT/BURGLARY.IDTHEFT,72
OCSD.AlisoViejo.THEFT/BURGLARY.PETTYTHEFT,16
OCSD.AlisoViejo.THEFT/BURGLARY.POSSESSIONOFBURGLARYTOOL,5
OCSD.AlisoViejo.THEFT/BURGLARY.RECEIVINGSTOLENPROPERTY,22
OCSD.AlisoViejo.THEFT/BURGLARY.TAMPERINGWITHAVEHICLE,24
OCSD.AlisoViejo.THEFT/BURGLARY.UnlawfulTakingorDrivingaVehicle,69
OCSD.AlisoViejo.THREATSAGAINSTPERSONS,
OCSD.AlisoViejo.THREATSAGAINSTPERSONS.BRANDISHINGAWEAPON,10
OCSD.AlisoViejo.THREATSAGAINSTPERSONS.POSSESSIONOFWEAPONONCAMPUS,9
OCSD.AlisoViejo.THREATSAGAINSTPERSONS.TERRORISTTHREATS,23
OCSD.CotoDeCaza,
OCSD.CotoDeCaza.CRIMESAGAINSTPERSONS,
OCSD.CotoDeCaza.CRIMESAGAINSTPERSONS.ASSAULTWITHDEADLYWEAPON,2
OCSD.CotoDeCaza.CRIMESAGAINSTPERSONS.Assault/Battery,3
OCSD.CotoDeCaza.CRIMESAGAINSTPERSONS.DOMESTICVIOLENCE,24
OCSD.CotoDeCaza.CRIMESAGAINSTPERSONS.FALSEIMPRISONMENT,1
OCSD.CotoDeCaza.CRIMESAGAINSTPERSONS.RESISTINGARREST,1
OCSD.CotoDeCaza.CRIMESAGAINSTPERSONS.SEXUALASSAULT,8
OCSD.CotoDeCaza.DISTURBANCE,
OCSD.CotoDeCaza.DISTURBANCE.TRESPASSING,5
OCSD.CotoDeCaza.DRUGS/INTOXICATION,
OCSD.CotoDeCaza.DRUGS/INTOXICATION.DRIVINGUNDERTHEINFLUENCE,1
OCSD.CotoDeCaza.DRUGS/INTOXICATION.NARCOTICVIOLATION,3
OCSD.CotoDeCaza.DRUGS/INTOXICATION.PossessionofDrugParaphernalia,5
OCSD.CotoDeCaza.DRUGS/INTOXICATION.PossessionofMethamphetamine,1
OCSD.CotoDeCaza.DRUGS/INTOXICATION.UNDERTHEINFLUENCEDRUGS,1
OCSD.CotoDeCaza.PROPERTYDAMAGE,
OCSD.CotoDeCaza.PROPERTYDAMAGE.VANDALISMINPROGRESS,29
OCSD.CotoDeCaza.RESISTINGARREST,
OCSD.CotoDeCaza.RESISTINGARREST.RESISTINGARREST,1
OCSD.CotoDeCaza.THEFT/BURGLARY,
OCSD.CotoDeCaza.THEFT/BURGLARY.BURGLARYINPROGRESS,1
OCSD.CotoDeCaza.THEFT/BURGLARY.GRANDTHEFT,25
OCSD.CotoDeCaza.THEFT/BURGLARY.IDTHEFT,8
OCSD.CotoDeCaza.THEFT/BURGLARY.RECEIVINGSTOLENPROPERTY,1
OCSD.CotoDeCaza.THEFT/BURGLARY.TAMPERINGWITHAVEHICLE,5
OCSD.CotoDeCaza.THEFT/BURGLARY.UnlawfulTakingorDrivingaVehicle,2
OCSD.CotoDeCaza.THREATSAGAINSTPERSONS,
OCSD.CotoDeCaza.THREATSAGAINSTPERSONS.TERRORISTTHREATS,4
OCSD.DanaPoint,
OCSD.DanaPoint.CRIMESAGAINSTPERSONS,
OCSD.DanaPoint.CRIMESAGAINSTPERSONS.ANNOYINGORMOLESTINGACHILD,6
OCSD.DanaPoint.CRIMESAGAINSTPERSONS.ASSAULTONPOLICEOFFICER,22
OCSD.DanaPoint.CRIMESAGAINSTPERSONS.ASSAULTWITHDEADLYWEAPON,44
OCSD.DanaPoint.CRIMESAGAINSTPERSONS.Assault/Battery,75
OCSD.DanaPoint.CRIMESAGAINSTPERSONS.ATTEMPTEDMURDER,4
OCSD.DanaPoint.CRIMESAGAINSTPERSONS.CONCEALEDDIRKORDAGGER,9
OCSD.DanaPoint.CRIMESAGAINSTPERSONS.DOMESTICVIOLENCE,156
OCSD.DanaPoint.CRIMESAGAINSTPERSONS.ELDERLYABUSE,4
OCSD.DanaPoint.CRIMESAGAINSTPERSONS.FALSEIMPRISONMENT,5
OCSD.DanaPoint.CRIMESAGAINSTPERSONS.INDECENTEXPOSURE,4
OCSD.DanaPoint.CRIMESAGAINSTPERSONS.LEWDCONDUCT-CHILDABUSE,9
OCSD.DanaPoint.CRIMESAGAINSTPERSONS.MetalKnuckles,7
OCSD.DanaPoint.CRIMESAGAINSTPERSONS.PEEKINGWITHINSTRUMENT,2
OCSD.DanaPoint.CRIMESAGAINSTPERSONS.RESISTINGARREST,9
OCSD.DanaPoint.CRIMESAGAINSTPERSONS.ROBBERYINPROGRESS,26
OCSD.DanaPoint.CRIMESAGAINSTPERSONS.SEXUALASSAULT,117
OCSD.DanaPoint.CRIMESAGAINSTPERSONS.SHOOTINGATINHABITEDDWELLINGINPROGRESS,3
OCSD.DanaPoint.DISTURBANCE,
OCSD.DanaPoint.DISTURBANCE.DISORDERLYCONDUCT-PROSTITUTION,1
OCSD.DanaPoint.DISTURBANCE.DISTURBANCE,3
OCSD.DanaPoint.DISTURBANCE.lewdCONDUCT,3
OCSD.DanaPoint.DISTURBANCE.LOITERINGONPRIVATEPROPERTTY,1
OCSD.DanaPoint.DISTURBANCE.PUBLICNUISANCE,3
OCSD.DanaPoint.DISTURBANCE.RAILROADTRESSPASSING,1
OCSD.DanaPoint.DISTURBANCE.TRESPASSING,60
OCSD.DanaPoint.DISTURBANCE.URINATINGINPUBLIC,4
OCSD.DanaPoint.DRUGS/INTOXICATION,
OCSD.DanaPoint.DRUGS/INTOXICATION.DRIVINGUNDERTHEINFLUENCE,152
OCSD.DanaPoint.DRUGS/INTOXICATION.DRUNKINPUBLIC,14
OCSD.DanaPoint.DRUGS/INTOXICATION.NARCOTICVIOLATION,99
OCSD.DanaPoint.DRUGS/INTOXICATION.NARCOTICVIOLATIONMISDEMEANOR,65
OCSD.DanaPoint.DRUGS/INTOXICATION.OpenContainer,10
OCSD.DanaPoint.DRUGS/INTOXICATION.POSSESSIONFORSALEOFNARCOTICS,14
OCSD.DanaPoint.DRUGS/INTOXICATION.POSSESSIONFORSLAEOFDESIGNATEDSUBSTANCES,24
OCSD.DanaPoint.DRUGS/INTOXICATION.POSSESSIONOFACONTROLLEDSUBSTANCE,27
OCSD.DanaPoint.DRUGS/INTOXICATION.PossessionofDrugParaphernalia,310
OCSD.DanaPoint.DRUGS/INTOXICATION.PossessionofMarijuanaforSale,10
OCSD.DanaPoint.DRUGS/INTOXICATION.PossessionofMethamphetamine,179
OCSD.DanaPoint.DRUGS/INTOXICATION.SALEOFMETHAMPHETAMINE,17
OCSD.DanaPoint.DRUGS/INTOXICATION.SALEORTRANSPORTATIONOFACONTROLLEDSUBSTANCE,5
OCSD.DanaPoint.DRUGS/INTOXICATION.TRANSPORTINGORSALEOFMETHAMPHETAMINE,2
OCSD.DanaPoint.DRUGS/INTOXICATION.UNDERTHEINFLUENCEDRUGS,18
OCSD.DanaPoint.PROPERTYDAMAGE,
OCSD.DanaPoint.PROPERTYDAMAGE.VANDALISMINPROGRESS,349
OCSD.DanaPoint.RESISTINGARREST,
OCSD.DanaPoint.RESISTINGARREST.RESISTINGARREST,7
OCSD.DanaPoint.THEFT/BURGLARY,
OCSD.DanaPoint.THEFT/BURGLARY.APPROPRIATIONOFLOSTPROPERTY,20
OCSD.DanaPoint.THEFT/BURGLARY.BURGLARYINPROGRESS,123
OCSD.DanaPoint.THEFT/BURGLARY.CHECKFRAUD,4
OCSD.DanaPoint.THEFT/BURGLARY.CRIMINALPROFITTEERING,2
OCSD.DanaPoint.THEFT/BURGLARY.DEFRAUDINGANINNKEEPER,38
OCSD.DanaPoint.THEFT/BURGLARY.ForgeryandCounterfeiting,1
OCSD.DanaPoint.THEFT/BURGLARY.FORGERYINPROGRESS,4
OCSD.DanaPoint.THEFT/BURGLARY.GRANDTHEFT,180
OCSD.DanaPoint.THEFT/BURGLARY.IDTHEFT,57
OCSD.DanaPoint.THEFT/BURGLARY.PETTYTHEFT,13
OCSD.DanaPoint.THEFT/BURGLARY.POSSESSIONOFBURGLARYTOOL,19
OCSD.DanaPoint.THEFT/BURGLARY.RECEIVINGSTOLENPROPERTY,32
OCSD.DanaPoint.THEFT/BURGLARY.STOLENVEHICLE,1
OCSD.DanaPoint.THEFT/BURGLARY.TAMPERINGWITHAVEHICLE,26
OCSD.DanaPoint.THEFT/BURGLARY.UnlawfulTakingorDrivingaVehicle,98
OCSD.DanaPoint.THREATSAGAINSTPERSONS,
OCSD.DanaPoint.THREATSAGAINSTPERSONS.BRANDISHINGAWEAPON,8
OCSD.DanaPoint.THREATSAGAINSTPERSONS.POSSESSIONOFWEAPONONCAMPUS,8
OCSD.DanaPoint.THREATSAGAINSTPERSONS.TERRORISTTHREATS,26
OCSD.DanaPointHarbor,
OCSD.DanaPointHarbor.CRIMESAGAINSTPERSONS,
OCSD.DanaPointHarbor.CRIMESAGAINSTPERSONS.ASSAULTWITHDEADLYWEAPON,1
OCSD.DanaPointHarbor.CRIMESAGAINSTPERSONS.Assault/Battery,1
OCSD.DanaPointHarbor.CRIMESAGAINSTPERSONS.DOMESTICVIOLENCE,3
OCSD.DanaPointHarbor.CRIMESAGAINSTPERSONS.POSSESSIONOFCHILDPORNOGRAPHY,1
OCSD.DanaPointHarbor.CRIMESAGAINSTPERSONS.SEXUALASSAULT,1
OCSD.DanaPointHarbor.DISTURBANCE,
OCSD.DanaPointHarbor.DISTURBANCE.TRESPASSING,1
OCSD.DanaPointHarbor.DRUGS/INTOXICATION,
OCSD.DanaPointHarbor.DRUGS/INTOXICATION.DRUNKINPUBLIC,1
OCSD.DanaPointHarbor.DRUGS/INTOXICATION.NARCOTICVIOLATION,3
OCSD.DanaPointHarbor.DRUGS/INTOXICATION.NARCOTICVIOLATIONMISDEMEANOR,6
OCSD.DanaPointHarbor.DRUGS/INTOXICATION.POSSESSIONFORSALEOFNARCOTICS,1
OCSD.DanaPointHarbor.DRUGS/INTOXICATION.PossessionofDrugParaphernalia,12
OCSD.DanaPointHarbor.DRUGS/INTOXICATION.PossessionofMethamphetamine,7
OCSD.DanaPointHarbor.PROPERTYDAMAGE,
OCSD.DanaPointHarbor.PROPERTYDAMAGE.VANDALISMINPROGRESS,2
OCSD.DanaPointHarbor.THEFT/BURGLARY,
OCSD.DanaPointHarbor.THEFT/BURGLARY.BURGLARYINPROGRESS,1
OCSD.DanaPointHarbor.THEFT/BURGLARY.GRANDTHEFT,11
OCSD.Fairgrounds,
OCSD.Fairgrounds.CRIMESAGAINSTPERSONS,
OCSD.Fairgrounds.CRIMESAGAINSTPERSONS.ANNOYINGORMOLESTINGACHILD,1
OCSD.Fairgrounds.CRIMESAGAINSTPERSONS.ASSAULTONPOLICEOFFICER,1
OCSD.Fairgrounds.CRIMESAGAINSTPERSONS.ASSAULTWITHDEADLYWEAPON,1
OCSD.Fairgrounds.CRIMESAGAINSTPERSONS.Assault/Battery,11
OCSD.Fairgrounds.CRIMESAGAINSTPERSONS.DOMESTICVIOLENCE,3
OCSD.Fairgrounds.CRIMESAGAINSTPERSONS.INDECENTEXPOSURE,1
OCSD.Fairgrounds.CRIMESAGAINSTPERSONS.PEEKINGWITHINSTRUMENT,1
OCSD.Fairgrounds.CRIMESAGAINSTPERSONS.RESISTINGARREST,1
OCSD.Fairgrounds.CRIMESAGAINSTPERSONS.ROBBERYINPROGRESS,2
OCSD.Fairgrounds.CRIMESAGAINSTPERSONS.SEXUALASSAULT,6
OCSD.Fairgrounds.DISTURBANCE,
OCSD.Fairgrounds.DISTURBANCE.TRESPASSING,2
OCSD.Fairgrounds.DRUGS/INTOXICATION,
OCSD.Fairgrounds.DRUGS/INTOXICATION.DRIVINGUNDERTHEINFLUENCE,1
OCSD.Fairgrounds.DRUGS/INTOXICATION.DRUNKINPUBLIC,3
OCSD.Fairgrounds.DRUGS/INTOXICATION.PossessionofMethamphetamine,1
OCSD.Fairgrounds.PROPERTYDAMAGE,
OCSD.Fairgrounds.PROPERTYDAMAGE.VANDALISMINPROGRESS,1
OCSD.Fairgrounds.THEFT/BURGLARY,
OCSD.Fairgrounds.THEFT/BURGLARY.BURGLARYINPROGRESS,1
OCSD.Fairgrounds.THEFT/BURGLARY.CHECKFRAUD,1
OCSD.Fairgrounds.THEFT/BURGLARY.GRANDTHEFT,5
OCSD.Fairgrounds.THEFT/BURGLARY.IDTHEFT,3
OCSD.Fairgrounds.THEFT/BURGLARY.RECEIVINGSTOLENPROPERTY,1
OCSD.Fairgrounds.THEFT/BURGLARY.TAMPERINGWITHAVEHICLE,1
OCSD.Fairgrounds.THEFT/BURGLARY.UnlawfulTakingorDrivingaVehicle,2
OCSD.Fairgrounds.THREATSAGAINSTPERSONS,
OCSD.Fairgrounds.THREATSAGAINSTPERSONS.TERRORISTTHREATS,1
OCSD.JohnWayneAirport,
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS,
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS.ASSAULTWITHDEADLYWEAPON,1
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS.Assault/Battery,4
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS.CONCEALEDDIRKORDAGGER,1
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS.DOMESTICVIOLENCE,6
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS.INDECENTEXPOSURE,1
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS.MetalKnuckles,13
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS.ROBBERYINPROGRESS,1
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS.SEXUALASSAULT,2
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS.WEAPONINCOURT,56
OCSD.JohnWayneAirport.DISTURBANCE,
OCSD.JohnWayneAirport.DISTURBANCE.TRESPASSING,5
OCSD.JohnWayneAirport.DRUGS/INTOXICATION,
OCSD.JohnWayneAirport.DRUGS/INTOXICATION.DRIVINGUNDERTHEINFLUENCE,6
OCSD.JohnWayneAirport.DRUGS/INTOXICATION.DRUNKINPUBLIC,6
OCSD.JohnWayneAirport.DRUGS/INTOXICATION.NARCOTICVIOLATION,5
OCSD.JohnWayneAirport.DRUGS/INTOXICATION.NARCOTICVIOLATIONMISDEMEANOR,6
OCSD.JohnWayneAirport.DRUGS/INTOXICATION.OpenContainer,2
OCSD.JohnWayneAirport.DRUGS/INTOXICATION.POSSESSIONFORSALEOFNARCOTICS,1
OCSD.JohnWayneAirport.DRUGS/INTOXICATION.POSSESSIONOFACONTROLLEDSUBSTANCE,3
OCSD.JohnWayneAirport.DRUGS/INTOXICATION.PossessionofDrugParaphernalia,9
