id,value
OCSD,
OCSD.LakeForest,
OCSD.LakeForest.CRIMESAGAINSTPERSONS,
OCSD.LakeForest.CRIMESAGAINSTPERSONS.ANNOYINGORMOLESTINGACHILD,2
OCSD.LakeForest.CRIMESAGAINSTPERSONS.ASSAULTONPOLICEOFFICER,17
OCSD.LakeForest.CRIMESAGAINSTPERSONS.ASSAULTWITHDEADLYWEAPON,90
OCSD.LakeForest.CRIMESAGAINSTPERSONS.Assault/Battery,143
OCSD.LakeForest.CRIMESAGAINSTPERSONS.ATTEMPTEDMURDER,8
OCSD.LakeForest.CRIMESAGAINSTPERSONS.CARJACKINGINPROGRESS,4
OCSD.LakeForest.CRIMESAGAINSTPERSONS.CONCEALEDDIRKORDAGGER,45
OCSD.LakeForest.CRIMESAGAINSTPERSONS.DOMESTICVIOLENCE,381
OCSD.LakeForest.CRIMESAGAINSTPERSONS.ELDERLYABUSE,9
OCSD.LakeForest.CRIMESAGAINSTPERSONS.FALSEIMPRISONMENT,25
OCSD.LakeForest.CRIMESAGAINSTPERSONS.HOMICIDE,1
OCSD.LakeForest.CRIMESAGAINSTPERSONS.INDECENTEXPOSURE,5
OCSD.LakeForest.CRIMESAGAINSTPERSONS.KIDNAPPING,8
OCSD.LakeForest.CRIMESAGAINSTPERSONS.LEWDCONDUCT-CHILDABUSE,26
OCSD.LakeForest.CRIMESAGAINSTPERSONS.MANSLAUGHTER,1
OCSD.LakeForest.CRIMESAGAINSTPERSONS.MetalKnuckles,15
OCSD.LakeForest.CRIMESAGAINSTPERSONS.PEEKINGWITHINSTRUMENT,1
OCSD.LakeForest.CRIMESAGAINSTPERSONS.RESISTINGARREST,31
OCSD.LakeForest.CRIMESAGAINSTPERSONS.ROBBERYINPROGRESS,44
OCSD.LakeForest.CRIMESAGAINSTPERSONS.SEXUALASSAULT,215
OCSD.LakeForest.CRIMESAGAINSTPERSONS.SHOOTINGATINHABITEDDWELLINGINPROGRESS,3
OCSD.LakeForest.DISTURBANCE,
OCSD.LakeForest.DISTURBANCE.DISORDERLYCONDUCT-PROSTITUTION,1
OCSD.LakeForest.DISTURBANCE.DISTURBANCE,9
OCSD.LakeForest.DISTURBANCE.lewdCONDUCT,3
OCSD.LakeForest.DISTURBANCE.LOITERINGONPRIVATEPROPERTTY,10
OCSD.LakeForest.DISTURBANCE.PEEKINGWHILELOITERING,1
OCSD.LakeForest.DISTURBANCE.PUBLICNUISANCE,1
OCSD.LakeForest.DISTURBANCE.RAILROADTRESSPASSING,2
OCSD.LakeForest.DISTURBANCE.TRESPASSING,68
OCSD.LakeForest.DISTURBANCE.URINATINGINPUBLIC,1
OCSD.LakeForest.DRUGS/INTOXICATION,
OCSD.LakeForest.DRUGS/INTOXICATION.DRIVINGUNDERTHEINFLUENCE,226
OCSD.LakeForest.DRUGS/INTOXICATION.DRUNKINPUBLIC,97
OCSD.LakeForest.DRUGS/INTOXICATION.NARCOTICVIOLATION,319
OCSD.LakeForest.DRUGS/INTOXICATION.NARCOTICVIOLATIONMISDEMEANOR,115
OCSD.LakeForest.DRUGS/INTOXICATION.OpenContainer,46
OCSD.LakeForest.DRUGS/INTOXICATION.POSSESSIONFORSALEOFNARCOTICS,44
OCSD.LakeForest.DRUGS/INTOXICATION.POSSESSIONFORSLAEOFDESIGNATEDSUBSTANCES,83
OCSD.LakeForest.DRUGS/INTOXICATION.POSSESSIONOFACONTROLLEDSUBSTANCE,63
OCSD.LakeForest.DRUGS/INTOXICATION.PossessionofDrugParaphernalia,841
OCSD.LakeForest.DRUGS/INTOXICATION.PossessionofMarijuanaforSale,11
OCSD.LakeForest.DRUGS/INTOXICATION.PossessionofMethamphetamine,601
OCSD.LakeForest.DRUGS/INTOXICATION.POSSESSIONOFTOLUENE,17
OCSD.LakeForest.DRUGS/INTOXICATION.SALEOFMETHAMPHETAMINE,63
OCSD.LakeForest.DRUGS/INTOXICATION.SALEORTRANSPORTATIONOFACONTROLLEDSUBSTANCE,11
OCSD.LakeForest.DRUGS/INTOXICATION.TRANSPORTINGORSALEOFMETHAMPHETAMINE,14
OCSD.LakeForest.DRUGS/INTOXICATION.UNDERTHEINFLUENCEDRUGS,82
